species,order,LogBrain,LogBody,BrainResidual,BehaviorCategories,MigratoryDistance,SnowWeeks,EVI.BreedingSite(Winter),EVI.BreedingSite(Summer),EVI.NonBreedingSite(Winter),CV(EVI)Intra-year,CV(EVI)Among-years,PPC1,PPC2,FruitConsumer,InsectConsumer,ForestDweller,DietBreadth,Incubation,Fledging,DevelopmentalMode,SocialMatingSystem,ColonialBreeding,SocialForaging
Grantiella_picta,PASSERIFORMES,-0.357,3.135,0.072,Migrant.Short,600.783,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.144,NA,NA,altricial,NA,NA,NA
Grus_antigone,GRUIFORMES,3.008,8.78,0.532,Migrant.Short,351.483,NA,1.567,1.671,1.546,0.04,0.009,NA,NA,0,1,0,0.145,31.9,61,precocial,Monogamous,NA,Aggregation
Grus_canadensis,GRUIFORMES,2.695,8.269,0.484,Migrant.Short,3264.224,NA,1.034,1.164,1.375,0.099,0.015,NA,NA,1,1,0,0.153,29,35.65,precocial,Monogamous,Solitary,NA
Grus_virgo,GRUIFORMES,2.342,7.696,0.43,Migrant.Short,3287.957,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.145,28,31,precocial,Monogamous,NA,Aggregation
Guaruba_guarouba,PSITTACIFORMES,2.012,5.269,1.335,Resident.LowLat,0,0,1.707,1.691,1.707,0.015,0.012,-0.413,1.022,1,0,1,0.035,30,49,altricial,Monogamous,NA,NA
Guira_guira,CUCULIFORMES,0.681,4.988,0.144,Resident.MidLat,0,0.001,1.514,1.595,1.514,0.02,0.012,0.515,0.812,0,1,0,0.002,12.5,15,altricial,Monogamous,Colonial,Bonded
Gymnocichla_nudiceps,PASSERIFORMES,0.058,3.489,0.302,Resident.LowLat,0,0,1.684,1.728,1.684,0.015,0.014,0.225,1.927,0,1,1,0.001,NA,NA,altricial,Monogamous,Solitary,NA
Gymnophaps_albertisii,COLUMBIFORMES,0.742,5.539,-0.073,Resident.MidLat,0,0,1.699,1.693,1.699,0.01,0.015,0.021,3.012,1,0,1,0,NA,NA,altricial,Monogamous,NA,NA
Gymnorhina_tibicen,PASSERIFORMES,1.619,5.843,0.647,Resident.MidLat,0,0.005,1.367,1.383,1.367,0.008,0.009,-2.688,-0.406,0,1,0,0.001,20.5,28,altricial,Monogamous,Solitary,Bonded
Gymnorhinus_cyanocephalus,PASSERIFORMES,1.253,4.527,0.958,Resident.MidLat,0,7.267,1.251,1.326,1.251,0.036,0.013,10.345,-6.379,0,0,1,0.108,16,21,altricial,Monogamous,Colonial,Aggregation
Habia_fuscicauda,PASSERIFORMES,0.289,3.681,0.43,Resident.LowLat,0,0,1.63,1.727,1.63,0.017,0.014,0.434,1.783,1,1,1,0.073,13,9,altricial,Monogamous,NA,NA
Haematopus_ater,CHARADRIIFORMES,1.639,6.716,0.234,Resident.HighLat,0,0.827,1.382,1.392,1.382,0.025,0.015,4.324,0.294,0,1,0,0,NA,NA,precocial,NA,NA,NA
Haematopus_bachmani,CHARADRIIFORMES,1.495,6.307,0.296,Resident.HighLat,0,9.674,1.204,1.337,1.204,0.053,0.021,17.246,-3.351,0,1,0,0,26.25,15.5,precocial,Monogamous,Solitary,NA
Haematopus_leucopodus,CHARADRIIFORMES,1.515,6.491,0.226,Migrant.Short,142.429,NA,1.374,1.372,1.249,0.063,0.016,NA,NA,0,1,0,0,NA,NA,precocial,NA,NA,NA
