species,order,LogBrain,LogBody,BrainResidual,BehaviorCategories,MigratoryDistance,SnowWeeks,EVI.BreedingSite(Winter),EVI.BreedingSite(Summer),EVI.NonBreedingSite(Winter),CV(EVI)Intra-year,CV(EVI)Among-years,PPC1,PPC2,FruitConsumer,InsectConsumer,ForestDweller,DietBreadth,Incubation,Fledging,DevelopmentalMode,SocialMatingSystem,ColonialBreeding,SocialForaging
Lichenostomus_keartlandi,PASSERIFORMES,-0.378,2.757,0.249,Resident.MidLat,0,0,1.319,1.353,1.319,0.005,0.007,-3.972,-1.297,0,1,0,0.151,NA,NA,altricial,NA,NA,NA
Lichenostomus_leucotis,PASSERIFORMES,-0.124,3.119,0.314,Resident.MidLat,0,0.004,1.449,1.42,1.449,0.014,0.012,-0.433,1.301,0,1,1,0.135,NA,NA,altricial,NA,Solitary,NA
Lichenostomus_melanops,PASSERIFORMES,-0.041,2.986,0.466,Resident.MidLat,0,0.01,1.516,1.488,1.516,0.015,0.015,0.857,2.845,0,1,1,0.151,14,15,altricial,Monogamous,Solitary,Aggregation
Lichenostomus_ornatus,PASSERIFORMES,-0.274,2.957,0.248,Resident.MidLat,0,0,1.43,1.37,1.43,0.015,0.011,-0.769,0.521,0,1,1,0.143,13.5,13,altricial,NA,NA,NA
Lichenostomus_penicillatus,PASSERIFORMES,-0.252,2.856,0.323,Resident.MidLat,0,0.002,1.358,1.367,1.358,0.007,0.01,-2.705,-0.117,1,1,1,0.173,13.5,12.9,altricial,NA,NA,NA
Lichenostomus_unicolor,PASSERIFORMES,-0.205,3.401,0.084,Resident.LowLat,0,0,1.385,1.473,1.385,0.013,0.007,-2.928,-1.962,1,1,1,0.229,NA,NA,altricial,NA,NA,NA
Lichenostomus_virescens,PASSERIFORMES,-0.089,3.504,0.147,Resident.MidLat,0,0.001,1.357,1.374,1.357,0.008,0.009,-2.967,-0.631,1,1,0,0.144,13.2,13.4,altricial,Monogamous,NA,Aggregation
Lichmera_indistincta,PASSERIFORMES,-0.873,2.214,0.038,Resident.MidLat,0,0,1.363,1.399,1.363,0.008,0.009,-2.972,-0.787,0,1,0,0.142,14,13.9,altricial,Monogamous,Solitary,Aggregation
Limicola_falcinellus,CHARADRIIFORMES,-0.332,3.532,-0.111,Migrant.Long,7335.095,NA,1.013,1.175,1.49,0.224,0.016,NA,NA,0,1,0,0.173,21.3,NA,precocial,Monogamous,NA,NA
Limnodromus_griseus,CHARADRIIFORMES,0.34,4.732,-0.06,Migrant.Long,5472.961,NA,1.072,1.278,1.515,0.12,0.018,NA,NA,0,1,0,0.148,21,0.1,precocial,Monogamous,NA,Aggregation
Limnodromus_scolopaceus,CHARADRIIFORMES,0.309,4.52,0.018,Migrant.Long,5368.63,NA,1,1.111,1.486,0.178,0.015,NA,NA,0,1,0,0.148,20.5,0.1,precocial,Monogamous,Solitary,Bonded
Limnothlypis_swainsonii,PASSERIFORMES,-0.357,2.514,0.399,Migrant.Short,1545.994,NA,1.542,1.551,1.56,0.029,0.012,NA,NA,0,1,1,0.001,14,11.5,altricial,NA,NA,NA
Limosa_fedoa,CHARADRIIFORMES,1.016,5.838,0.047,Migrant.Short,2381.457,NA,1.206,1.354,1.467,0.065,0.016,NA,NA,0,1,0,0,24,0.1,precocial,Monogamous,Facultative,Bonded
Limosa_haemastica,CHARADRIIFORMES,0.838,5.503,0.042,Migrant.Long,10812.515,NA,1.004,1.157,1.475,0.167,0.018,NA,NA,0,1,0,0.11,22.75,30,precocial,Monogamous,Facultative,Aggregation
Limosa_lapponica,CHARADRIIFORMES,1.044,5.747,0.12,Migrant.Long,7118.385,NA,1.001,1.136,1.542,0.213,0.016,NA,NA,0,1,0,0.064,20.5,14.05,precocial,Monogamous,Solitary,Aggregation
Lipaugus_vociferans,PASSERIFORMES,0.47,4.22,0.333,Resident.LowLat,0,0,1.7,1.678,1.7,0.013,0.013,-0.316,1.674,1,1,1,0.072,NA,NA,altricial,Polygamous,NA,NA
Lonchura_cucullata,PASSERIFORMES,-0.948,2.186,-0.022,Resident.LowLat,0,0,1.539,1.553,1.539,0.027,0.011,0.954,-0.581,0,0,0,0.129,12,22.5,altricial,Monogamous,Solitary,Aggregation
Lonchura_malacca,PASSERIFORMES,-0.503,2.485,0.268,Resident.LowLat,0,0.001,1.576,1.653,1.576,0.019,0.012,0.261,0.741,0,0,0,0,13.25,23,altricial,NA,NA,NA
Lophodytes_cucullatus,ANSERIFORMES,1.589,6.547,0.271,Migrant.Short,2007.848,NA,1.191,1.422,1.371,0.068,0.016,NA,NA,0,1,0,0.07,31,35.55,precocial,Monogamous,Solitary,NA
Lopholaimus_antarcticus,COLUMBIFORMES,0.975,6.098,-0.12,Resident.MidLat,0,0.001,1.504,1.567,1.504,0.011,0.011,-1.331,0.866,1,0,1,0,20,24,altricial,Monogamous,Solitary,Bonded
Lophonetta_specularioides,ANSERIFORMES,1.512,6.832,0.05,Resident.MidLat,0,1.374,1.298,1.33,1.298,0.015,0.007,0.608,-4.543,0,1,0,0.021,30,NA,precocial,Monogamous,Solitary,Pair
Lophura_diardi,GALLIFORMES,1.361,6.774,-0.073,Resident.LowLat,0,0,1.695,1.595,1.695,0.022,0.013,1.005,1.127,1,1,1,0.073,NA,NA,precocial,NA,NA,NA
Loriculus_galgulus,PSITTACIFORMES,0.427,3.423,0.705,Resident.LowLat,0,0,1.707,1.705,1.707,0.011,0.014,-0.056,2.697,1,0,1,0,21,35,altricial,Monogamous,NA,NA
Loriculus_philippensis,PSITTACIFORMES,0.405,3.434,0.677,Resident.MidLat,0,0,1.705,1.651,1.705,0.013,0.013,-0.255,1.812,1,0,1,0.083,20,35,altricial,Monogamous,NA,NA
Lorius_garrulus,PSITTACIFORMES,1.599,5.257,0.929,Resident.LowLat,0,0.002,1.721,1.71,1.721,0.01,0.015,-0.008,3.148,0,0,1,0,26,76,altricial,Monogamous,NA,NA
Lorius_lory,PSITTACIFORMES,1.619,5.299,0.928,Resident.LowLat,0,0,1.699,1.694,1.699,0.01,0.014,-0.136,2.78,1,1,1,0.144,24,60,altricial,Monogamous,NA,NA
Loxia_curvirostra,PASSERIFORMES,0.347,3.535,0.566,Migrant.Short,1211.945,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0.108,13.5,19.75,altricial,Monogamous,Facultative,Aggregation
Loxia_leucoptera,PASSERIFORMES,0.107,3.219,0.491,Migrant.Short,1513.539,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.185,13,23,altricial,Facultative,Colonial,Aggregation
Loxigilla_violacea,PASSERIFORMES,0.138,3.333,0.462,Resident.LowLat,0,0.001,1.573,1.655,1.573,0.014,0.012,-0.776,0.911,1,0,1,0.173,NA,NA,altricial,NA,NA,NA
Loxipasser_anoxanthus,PASSERIFORMES,-0.572,2.425,0.231,Resident.LowLat,0,0,1.658,1.737,1.658,0.012,0.012,-0.81,1.289,1,0,1,0.17,NA,NA,altricial,NA,NA,NA
Luscinia_megarhynchos,PASSERIFORMES,-0.365,2.934,0.169,Migrant.Short,4563.037,NA,1.363,1.378,1.471,0.057,0.011,NA,NA,0,1,0,0,13,11,altricial,Monogamous,Solitary,NA
Lybius_torquatus,PICIFORMES,0.203,4.094,0.13,Resident.LowLat,0,0,1.439,1.581,1.439,0.027,0.009,0.289,-1.502,1,1,0,0.097,18.5,34,altricial,Monogamous,Colonial,NA
Machetornis_rixosa,PASSERIFORMES,0.01,3.548,0.222,Resident.LowLat,0,0.001,1.536,1.601,1.536,0.021,0.013,0.823,1.196,0,1,0,0,14.5,NA,altricial,NA,Facultative,NA
Macrodipteryx_vexillarius,CAPRIMULGIFORMES,-0.17,4.192,-0.293,Migrant.Short,2059.054,NA,1.59,1.587,1.614,0.039,0.01,NA,NA,0,1,1,0,16.5,NA,semiprecocial,NA,NA,NA
Macronous_gularis,PASSERIFORMES,-0.4,2.603,0.309,Resident.LowLat,0,0.044,1.557,1.664,1.557,0.022,0.012,0.674,0.264,1,1,1,0.073,NA,NA,altricial,Monogamous,NA,NA
Macropygia_amboinensis,COLUMBIFORMES,0.354,5.313,-0.344,Resident.LowLat,0,0,1.641,1.611,1.641,0.011,0.013,-0.561,2.001,1,0,1,0.17,17,16,altricial,Monogamous,NA,NA
Macropygia_phasianella,COLUMBIFORMES,0.345,4.978,-0.187,Resident.MidLat,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0.17,NA,NA,altricial,Monogamous,NA,NA
Malacoptila_panamensis,PICIFORMES,0.14,3.738,0.251,Resident.LowLat,0,0,1.692,1.73,1.692,0.015,0.013,0.046,1.667,0,1,1,0.002,NA,20,altricial,NA,NA,NA
Malacorhynchus_membranaceus,ANSERIFORMES,1.067,5.831,0.102,Resident.MidLat,0,0.001,1.412,1.363,1.412,0.013,0.012,-0.936,0.759,0,1,0,0.173,26,0.1,precocial,Monogamous,Facultative,Aggregation
Malurus_alboscapulatus,PASSERIFORMES,-0.755,2.079,0.225,Resident.LowLat,0,0,1.69,1.686,1.69,0.01,0.014,-0.419,2.491,0,1,0,0,11.5,30,altricial,NA,NA,NA
Malurus_coronatus,PASSERIFORMES,-0.744,2.197,0.176,Resident.LowLat,0,0,1.349,1.423,1.349,0.011,0.007,-3.477,-2.187,0,1,0,0,14,10,altricial,Monogamous,Solitary,Bonded
Malurus_cyaneus,PASSERIFORMES,-0.763,2.073,0.22,Resident.MidLat,0,0.029,1.496,1.461,1.496,0.015,0.015,0.953,2.718,0,1,0,0.073,14,12.85,altricial,Monogamous,Solitary,Bonded
Malurus_elegans,PASSERIFORMES,-0.567,2.31,0.296,Resident.LowLat,0,0.002,1.571,1.461,1.571,0.02,0.012,0.291,0.512,0,1,1,0,14.75,12.5,altricial,Monogamous,Solitary,Bonded
Malurus_lamberti,PASSERIFORMES,-0.764,2.09,0.211,Resident.MidLat,0,0,1.345,1.366,1.345,0.007,0.009,-3.221,-0.713,0,1,0,0.153,15,10.4,altricial,Monogamous,Solitary,Pair
Malurus_leucopterus,PASSERIFORMES,-0.994,2.079,-0.014,Resident.LowLat,0,0,1.334,1.343,1.334,0.006,0.008,-3.461,-0.801,0,1,0,0.057,13.25,10.75,altricial,Monogamous,Solitary,Pair
Malurus_melanocephalus,PASSERIFORMES,-0.799,1.946,0.25,Resident.LowLat,0,0,1.391,1.466,1.391,0.012,0.009,-2.339,-0.803,0,1,0,0.057,13,11.75,altricial,Monogamous,Solitary,Aggregation
Malurus_pulcherrimus,PASSERIFORMES,-0.868,2.282,0.009,Resident.LowLat,0,0,1.43,1.366,1.43,0.018,0.01,-0.806,-0.337,0,1,0,0,14.5,11,altricial,Monogamous,Solitary,Bonded
Malurus_splendens,PASSERIFORMES,-0.799,2.222,0.109,Resident.MidLat,0,0,1.337,1.338,1.337,0.006,0.008,-3.564,-0.899,0,1,0,0.021,14.25,12.1,altricial,Monogamous,Solitary,Bonded
Manacus_candei,PASSERIFORMES,-0.57,2.864,0.001,Resident.LowLat,0,0,1.674,1.742,1.674,0.014,0.013,-0.139,1.801,1,1,1,0.073,NA,NA,altricial,Polygamous,Solitary,NA
Manacus_manacus,PASSERIFORMES,-0.604,2.944,-0.075,Resident.LowLat,0,0,1.675,1.667,1.675,0.014,0.013,-0.261,1.481,1,0,1,0.024,18.5,14,altricial,Polygamous,Solitary,NA
Manacus_vitellinus,PASSERIFORMES,-0.472,2.904,0.078,Resident.LowLat,0,0,1.701,1.737,1.701,0.016,0.014,0.41,1.874,1,1,1,0.073,NA,14,altricial,Polygamous,Solitary,NA
Manorina_flavigula,PASSERIFORMES,0.446,4.011,0.416,Resident.MidLat,0,0,1.344,1.365,1.344,0.007,0.008,-3.267,-0.897,0,1,1,0.151,15,16,altricial,NA,NA,NA
Manorina_melanocephala,PASSERIFORMES,0.637,4.053,0.586,Resident.MidLat,0,0.008,1.443,1.444,1.443,0.013,0.013,-0.508,1.553,0,1,1,0.184,16,16,altricial,Monogamous,Colonial,Bonded
Manorina_melanophrys,PASSERIFORMES,0.161,3.238,0.536,Resident.MidLat,0,0.023,1.541,1.549,1.541,0.01,0.014,-0.44,2.214,0,1,1,0.135,14.7,13,altricial,Monogamous,Colonial,NA
Margarops_fuscatus,PASSERIFORMES,0.854,4.695,0.473,Resident.LowLat,0,0,1.618,1.667,1.618,0.011,0.012,-1.1,1.194,1,1,1,0.065,NA,21,altricial,Monogamous,Solitary,NA
Margarops_fuscus,PASSERIFORMES,0.437,4.26,0.279,Resident.LowLat,0,0,1.633,1.697,1.633,0.013,0.015,0.26,2.698,1,0,1,0,NA,NA,altricial,Monogamous,Solitary,NA
Mecocerculus_leucophrys,PASSERIFORMES,-0.916,2.23,-0.013,Resident.LowLat,0,0.043,1.548,1.592,1.548,0.015,0.011,-0.656,0.292,0,1,1,0.024,NA,NA,altricial,Monogamous,Solitary,NA
Megaceryle_alcyon,CORACIIFORMES,0.875,4.812,0.434,Migrant.Short,3494.96,NA,1.087,1.291,1.415,0.083,0.016,NA,NA,0,1,0,0.001,23.15,30.25,altricial,Monogamous,Solitary,Solitary
Megaceryle_torquata,CORACIIFORMES,1.308,5.785,0.367,Resident.LowLat,0,0.077,1.594,1.611,1.594,0.018,0.013,0.524,1.023,0,1,0,0.001,22,35.25,altricial,NA,NA,NA
Megalaima_lineata,PICIFORMES,0.811,5.078,0.23,Resident.LowLat,0,0.008,1.555,1.654,1.555,0.023,0.012,0.829,0.418,1,1,1,0.116,14.5,NA,altricial,NA,NA,Aggregation
Megalurus_gramineus,PASSERIFORMES,-0.562,2.501,0.2,Resident.MidLat,0,0.011,1.405,1.401,1.405,0.011,0.011,-1.3,0.856,0,1,0,0,NA,NA,altricial,NA,NA,NA
Megalurus_palustris,PASSERIFORMES,0.133,3.644,0.294,Resident.LowLat,0,0.01,1.519,1.625,1.519,0.024,0.011,0.451,-0.396,0,1,0,0,NA,NA,altricial,NA,Solitary,NA
Megarynchus_pitangua,PASSERIFORMES,0.203,4.19,0.081,Resident.LowLat,0,0,1.632,1.642,1.632,0.017,0.013,0.219,1.305,0,1,1,0.069,17.75,23.75,altricial,Monogamous,Solitary,Bonded
Megascops_asio,STRIGIFORMES,1.367,4.903,0.876,Resident.MidLat,0,3.549,1.426,1.489,1.426,0.046,0.015,10.83,-3.831,0,1,0,0.002,29,29,semialtricial,Monogamous,Solitary,Solitary
Megascops_choliba,STRIGIFORMES,1.227,4.679,0.854,Resident.LowLat,0,0,1.606,1.637,1.606,0.017,0.013,0.222,1.276,0,1,1,0.001,NA,NA,semialtricial,Monogamous,NA,NA
Megascops_nudipes,STRIGIFORMES,1.335,4.959,0.813,Resident.LowLat,0,0,1.656,1.725,1.656,0.012,0.012,-0.836,1.385,0,1,1,0.002,NA,NA,semialtricial,Monogamous,NA,NA
Melanerpes_carolinus,PICIFORMES,0.811,4.345,0.609,Resident.MidLat,0,2.106,1.485,1.528,1.485,0.045,0.013,8.329,-4.148,1,1,0,0.188,12,25,altricial,Monogamous,Solitary,Solitary
Melanerpes_formicivorus,PICIFORMES,0.693,4.18,0.576,Resident.MidLat,0,0.646,1.451,1.523,1.451,0.02,0.01,1.224,-2.116,1,1,1,0.201,14,31,altricial,Facultative,Solitary,Aggregation
Melanerpes_lewis,PICIFORMES,0.769,4.548,0.463,Migrant.Short,1837.684,NA,1.129,1.313,1.312,0.058,0.015,NA,NA,1,1,1,0.188,14,30.15,altricial,Monogamous,Solitary,NA
Melanerpes_striatus,PICIFORMES,0.711,4.316,0.524,Resident.LowLat,0,0,1.574,1.669,1.574,0.014,0.012,-0.475,1.086,1,1,0,0.149,NA,NA,altricial,NA,NA,Pair
Melanitta_fusca,ANSERIFORMES,1.898,7.343,0.17,Migrant.Short,2517.713,NA,1.055,1.227,1.331,0.156,0.017,NA,NA,0,1,0,0.038,27.6,30.35,precocial,Monogamous,Facultative,Aggregation
Melanitta_perspicillata,ANSERIFORMES,1.74,6.77,0.309,Migrant.Short,1833.58,NA,1.023,1.193,1.147,0.13,0.017,NA,NA,0,1,1,0.148,46.1,0.1,precocial,Monogamous,Solitary,Aggregation
Melanocharis_nigra,PASSERIFORMES,-0.616,2.442,0.177,Resident.MidLat,0,0,1.713,1.708,1.713,0.011,0.015,0.097,3.064,1,1,1,0.073,NA,NA,altricial,NA,NA,NA
Melanocharis_striativentris,PASSERIFORMES,-0.386,2.907,0.163,Resident.MidLat,0,0,1.686,1.677,1.686,0.011,0.014,-0.184,2.555,1,0,1,0,NA,NA,altricial,NA,NA,NA
Melanodryas_cucullata,PASSERIFORMES,-0.281,3.189,0.119,Resident.MidLat,0,0.001,1.357,1.372,1.357,0.008,0.009,-2.977,-0.599,0,1,0,0.153,15.75,13,altricial,Monogamous,Solitary,Aggregation
Melanodryas_vittata,PASSERIFORMES,-0.186,3.219,0.198,Resident.HighLat,0,0.418,1.547,1.522,1.547,0.012,0.015,1.539,2.119,0,1,0,0.173,15.5,15,altricial,NA,NA,NA
Melanoptila_glabrirostris,PASSERIFORMES,0.182,3.555,0.39,Resident.MidLat,0,0,1.602,1.728,1.602,0.018,0.015,1.254,2.556,0,1,0,0,NA,NA,altricial,Monogamous,Solitary,NA
Meleagris_gallopavo,GALLIFORMES,2.076,8.38,-0.193,Resident.MidLat,0,4.488,1.376,1.453,1.376,0.043,0.015,10.928,-4.438,1,1,0,0.169,28,0.1,precocial,Polygamous,Solitary,Aggregation
Melilestes_megarhynchus,PASSERIFORMES,0.3,3.855,0.351,Resident.LowLat,0,0,1.711,1.707,1.711,0.011,0.015,0.112,3.085,0,1,1,0.127,NA,NA,altricial,NA,NA,NA
Meliphaga_gracilis,PASSERIFORMES,-0.426,2.708,0.228,Resident.LowLat,0,0,1.635,1.664,1.635,0.011,0.011,-1.651,0.378,1,1,1,0.144,15,10.5,altricial,NA,NA,NA
Meliphaga_lewinii,PASSERIFORMES,0.157,3.553,0.367,Resident.MidLat,0,0.002,1.48,1.526,1.48,0.011,0.013,-0.82,1.597,1,0,1,0.123,14.25,15,altricial,Monogamous,Solitary,Bonded
Meliphaga_notata,PASSERIFORMES,-0.145,3.263,0.216,Resident.MidLat,0,0,1.493,1.59,1.493,0.014,0.009,-2.058,-1.119,1,1,1,0.144,14.75,14.85,altricial,NA,NA,NA
Melithreptus_albogularis,PASSERIFORMES,-0.478,2.565,0.251,Resident.LowLat,0,0,1.41,1.493,1.41,0.013,0.008,-2.333,-1.091,0,1,0,0.148,13,14,altricial,Monogamous,Solitary,Aggregation
Melithreptus_brevirostris,PASSERIFORMES,-0.335,2.628,0.36,Resident.MidLat,0,0.004,1.452,1.416,1.452,0.014,0.013,-0.374,1.461,0,1,1,0.148,NA,13,altricial,Monogamous,Facultative,NA
Melithreptus_lunatus,PASSERIFORMES,-0.431,2.603,0.278,Resident.MidLat,0,0.006,1.492,1.46,1.492,0.016,0.014,0.574,2.047,0,1,1,0.148,14,14.9,altricial,NA,Solitary,NA
Melopsittacus_undulatus,PSITTACIFORMES,0.161,3.376,0.463,Resident.MidLat,0,0,1.34,1.352,1.34,0.007,0.008,-3.273,-0.798,0,0,1,0,18,34.25,altricial,Monogamous,Colonial,Aggregation
Melopyrrha_nigra,PASSERIFORMES,-0.171,2.72,0.475,Resident.MidLat,0,0,1.527,1.685,1.527,0.022,0.014,1.364,1.679,1,0,0,0.135,NA,NA,altricial,NA,NA,NA
Menura_novaehollandiae,PASSERIFORMES,2.27,6.468,0.992,Resident.MidLat,0,0.017,1.533,1.53,1.533,0.011,0.014,-0.282,2.345,0,1,1,0.054,50,47,altricial,Polygamous,Solitary,Solitary
Mergus_merganser,ANSERIFORMES,1.755,7.195,0.104,Migrant.Short,3692.091,NA,1.083,1.264,1.339,0.109,0.018,NA,NA,0,0,0,0.015,31,33.25,precocial,Monogamous,Facultative,Aggregation
Merops_orientalis,CORACIIFORMES,-0.724,2.906,-0.175,Resident.LowLat,0,0.006,1.383,1.478,1.383,0.019,0.008,-1.716,-2.024,0,1,0,0,NA,NA,altricial,Monogamous,Facultative,NA
Merops_ornatus,CORACIIFORMES,-0.496,3.241,-0.124,Migrant.Short,2481.608,NA,1.371,1.368,1.656,0.116,0.01,NA,NA,0,1,0,0,24.1,29.5,altricial,NA,NA,NA
Mesembrinibis_cayennensis,PELECANIFORMES,1.831,6.608,0.48,Resident.LowLat,0,0,1.644,1.651,1.644,0.016,0.013,-0.051,1.243,0,1,1,0.062,NA,25,semiprecocial,NA,NA,NA
Mesophoyx_intermedia,PELECANIFORMES,1.482,6.016,0.427,Resident.LowLat,0,0.049,1.469,1.489,1.469,0.021,0.01,-0.163,-0.868,0,1,1,0.001,25.25,41.85,semialtricial,NA,Colonial,NA
Micrathene_whitneyi,STRIGIFORMES,0.336,3.503,0.573,Migrant.Short,1117.34,NA,1.347,1.37,1.387,0.016,0.009,NA,NA,0,1,1,0,24,30.5,semialtricial,Monogamous,Solitary,Solitary
Microeca_fascinans,PASSERIFORMES,-0.602,2.43,0.197,Resident.MidLat,0,0.002,1.383,1.401,1.383,0.01,0.01,-2.246,-0.19,0,1,0,0,17.3,18.35,altricial,Monogamous,Solitary,Aggregation
Microeca_flavigaster,PASSERIFORMES,-0.734,2.303,0.132,Resident.LowLat,0,0,1.445,1.53,1.445,0.014,0.008,-2.285,-1.347,0,1,1,0,NA,NA,altricial,Monogamous,Solitary,NA
Microeca_papuana,PASSERIFORMES,-0.549,2.506,0.211,Resident.LowLat,0,0,1.64,1.63,1.64,0.011,0.014,-0.184,2.681,0,1,1,0,NA,NA,altricial,NA,NA,NA
Microhierax_erythrogenys,FALCONIFORMES,0.336,3.889,0.37,Resident.LowLat,0,0,1.657,1.704,1.657,0.013,0.013,-0.26,1.811,0,1,1,0.001,NA,NA,semialtricial,Monogamous,Solitary,NA
Micropsitta_pusio,PSITTACIFORMES,-0.02,2.674,0.651,Resident.LowLat,0,0,1.727,1.72,1.727,0.011,0.015,0.012,2.908,1,1,1,0.153,NA,NA,altricial,Monogamous,NA,NA
Milvago_chimango,FALCONIFORMES,1.399,5.704,0.499,Migrant.Short,1518.265,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.001,26.5,42,semialtricial,Monogamous,Facultative,Solitary
Milvus_migrans,ACCIPITRIFORMES,1.757,6.389,0.519,Migrant.Short,4043.001,NA,1.174,1.293,1.418,0.063,0.011,NA,NA,0,1,0,0.001,31.5,41.75,semialtricial,Monogamous,Facultative,Solitary
Mimus_polyglottos,PASSERIFORMES,0.336,3.811,0.41,Resident.MidLat,0,4.622,1.362,1.446,1.362,0.042,0.014,10.597,-4.596,1,1,0,0.073,12.3,12.5,altricial,Monogamous,Solitary,Solitary
Minla_ignotincta,PASSERIFORMES,-0.382,2.773,0.237,Resident.LowLat,0,0.76,1.587,1.454,1.587,0.032,0.012,4.327,-1.683,0,1,1,0.173,NA,NA,altricial,NA,NA,NA
Mionectes_oleagineus,PASSERIFORMES,-0.771,2.581,-0.05,Resident.LowLat,0,0,1.693,1.664,1.693,0.014,0.013,-0.206,1.6,0,0,1,0.057,19.5,19,altricial,Polygamous,Solitary,Solitary
Mitrephanes_phaeocercus,PASSERIFORMES,-1.109,2.175,-0.177,Resident.LowLat,0,0.035,1.507,1.62,1.507,0.023,0.01,0.155,-0.768,0,1,1,0,NA,NA,altricial,Monogamous,Solitary,NA
Mniotilta_varia,PASSERIFORMES,-0.85,2.015,0.163,Migrant.Short,3408.635,NA,1.256,1.435,1.501,0.059,0.015,NA,NA,0,1,1,0.047,11,10,altricial,Monogamous,Solitary,Aggregation
Molothrus_ater,PASSERIFORMES,0.135,3.73,0.251,Migrant.Short,2684.858,NA,1.221,1.369,1.409,0.043,0.012,NA,NA,0,1,1,0.173,11.25,10.25,altricial,Facultative,Solitary,Aggregation
Molothrus_oryzivorus,PASSERIFORMES,1.131,5.25,0.465,Resident.LowLat,0,0,1.664,1.656,1.664,0.015,0.013,-0.143,1.322,1,1,1,0.173,NA,NA,altricial,NA,NA,NA
Monachella_muelleriana,PASSERIFORMES,-0.288,3.091,0.164,Resident.LowLat,0,0,1.706,1.702,1.706,0.011,0.015,0.104,3.06,0,1,0,0,NA,NA,altricial,NA,NA,NA
Monarcha_guttula,PASSERIFORMES,-0.382,2.742,0.253,Resident.LowLat,0,0,1.698,1.697,1.698,0.01,0.014,-0.164,2.753,0,1,1,0,NA,NA,altricial,Monogamous,Solitary,NA
Monarcha_melanopsis,PASSERIFORMES,-0.085,3.003,0.413,Migrant.Short,2409.763,NA,1.551,1.549,1.657,0.048,0.012,NA,NA,0,1,1,0,14,NA,altricial,Monogamous,Solitary,NA
Monarcha_trivirgatus,PASSERIFORMES,-0.397,2.536,0.348,Migrant.Short,1773.829,NA,1.549,1.546,1.601,0.033,0.011,NA,NA,0,1,1,0,NA,NA,altricial,Monogamous,Solitary,Aggregation
Monasa_nigrifrons,PICIFORMES,0.438,4.22,0.301,Resident.LowLat,0,0,1.629,1.66,1.629,0.018,0.013,0.22,1.199,0,1,1,0.002,NA,NA,altricial,NA,NA,Aggregation
Muscicapa_striata,PASSERIFORMES,-0.713,2.736,-0.075,Migrant.Long,6927.134,NA,1.242,1.355,1.54,0.077,0.014,NA,NA,0,1,0,0.024,13.1,13.75,altricial,Monogamous,Solitary,Solitary
Muscisaxicola_alpinus,PASSERIFORMES,-0.248,3.125,0.186,Resident.LowLat,0,0.002,1.559,1.543,1.559,0.011,0.01,-1.768,0.147,0,1,0,0,14,15.5,altricial,Monogamous,Solitary,Aggregation
Myadestes_genibarbis,PASSERIFORMES,-0.068,3.346,0.25,Resident.LowLat,0,0,1.587,1.678,1.587,0.014,0.012,-0.49,1.168,1,1,1,0.073,NA,NA,altricial,Monogamous,Solitary,NA
Myadestes_townsendi,PASSERIFORMES,0.005,3.529,0.227,Migrant.Short,2843.081,NA,1.022,1.158,1.301,0.106,0.018,NA,NA,0,1,1,0.161,12.2,12.5,altricial,Monogamous,Solitary,Solitary
Myiagra_alecto,PASSERIFORMES,-0.303,3.045,0.173,Resident.LowLat,0,0,1.519,1.575,1.519,0.012,0.01,-1.538,0.18,1,1,1,0.065,NA,NA,altricial,Monogamous,Solitary,NA
Myiagra_caledonica,PASSERIFORMES,-0.523,2.393,0.295,Resident.LowLat,0,0.001,1.678,1.695,1.678,0.009,0.012,-1.433,1.325,0,1,1,0,NA,NA,altricial,Monogamous,Solitary,NA
Myiagra_cyanoleuca,PASSERIFORMES,-0.462,2.695,0.199,Migrant.Short,2689.099,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0.153,NA,NA,altricial,NA,NA,NA
Myiagra_inquieta,PASSERIFORMES,-0.252,2.657,0.429,Resident.MidLat,0,0.003,1.435,1.44,1.435,0.014,0.011,-0.999,0.446,0,1,1,0,14,14,altricial,Monogamous,NA,NA
Myiagra_rubecula,PASSERIFORMES,-0.616,2.708,0.037,Migrant.Short,1865.662,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0.153,NA,NA,altricial,NA,NA,NA
Myiarchus_cinerascens,PASSERIFORMES,-0.266,3.36,0.045,Migrant.Short,2020.532,NA,1.334,1.378,1.456,0.043,0.01,NA,NA,0,1,1,0.053,15,15.75,altricial,Monogamous,Solitary,NA
Myiarchus_stolidus,PASSERIFORMES,-0.392,2.96,0.129,Resident.LowLat,0,0,1.584,1.677,1.584,0.014,0.012,-0.485,1.132,1,1,1,0.073,NA,NA,altricial,Monogamous,Solitary,NA
Myiarchus_tuberculifer,PASSERIFORMES,-0.412,2.931,0.124,Resident.LowLat,0,0.002,1.678,1.646,1.678,0.015,0.013,-0.085,1.345,0,1,1,0.073,14,13.5,altricial,Monogamous,Solitary,Aggregation
